"ID","Name","Type","rConc","Name","Type","Value","Quality","Call","Threshold","In Range","Out Range","Peak Ratio","Comments","treatment","Peak Call"
"S06-A20","mockhigh_106-6","Unknown",1,"IL18","Test",17.4069354595204,1,"Pass",0.0222468576534276,81.0932769541913,999,1,"ok","mock_high","Pass"
"S06-A21","mockhigh_106-6","Unknown",1,"GCLC","Test",16.9494422230383,1,"Pass",0.0222468576534276,83.5216626866228,999,1,"ok","mock_high","Pass"
"S06-A22","mockhigh_106-6","Unknown",1,"MAPK1","Test",15.4898543993043,1,"Pass",0.0222468576534276,85.2925812509515,999,1,"ok","mock_high","Pass"
"S06-A23","mockhigh_106-6","Unknown",1,"MYC","Test",10.1903476711523,1,"Pass",0.0222468576534276,80.0366883833803,999,1,"ok","mock_high","Pass"
"S06-A24","mockhigh_106-6","Unknown",1,"OCT4","Test",21.9791353557868,0,"Fail",0.0222468576534276,999,999,0,"miss","mock_high","Fail"
"S06-A25","mockhigh_106-6","Unknown",1,"OSCAR","Test",999,0,"Fail",0.0222468576534276,999,999,0,"miss","mock_high","Fail"
"S06-A26","mockhigh_106-6","Unknown",1,"MPO","Test",11.8945175788722,1,"Pass",0.0222468576534276,88.1355666311553,999,1,"ok","mock_high","Pass"
"S06-A27","mockhigh_106-6","Unknown",1,"EZH1","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","mock_high","Fail"
"S06-A28","mockhigh_106-6","Unknown",1,"SLC7A7","Test",17.1575000138529,1,"Pass",0.0222468576534276,81.4198738368149,999,1,"ok","mock_high","Pass"
"S06-A29","mockhigh_106-6","Unknown",1,"BRD4","Test",13.4430008253262,1,"Pass",0.0222468576534276,85.0983268209593,999,1,"ok","mock_high","Pass"
"S06-A30","mockhigh_106-6","Unknown",1,"DVL2","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","mock_high","Fail"
"S06-A31","mockhigh_106-6","Unknown",1,"MT2A","Test",16.500757768852,1,"Pass",0.0222468576534276,89.6233372105855,999,1,"ok","mock_high","Pass"
"S06-A32","mockhigh_106-6","Unknown",1,"NOTCH1","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","mock_high","Fail"
"S06-A33","mockhigh_106-6","Unknown",1,"PTK2","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","mock_high","Fail"
