"ID","Name","Type","rConc","Name","Type","Value","Quality","Call","Threshold","In Range","Out Range","Peak Ratio","Comments","treatment","Peak Call"
"S05-A43","48hlow_105-5","Unknown",1,"LRP6","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S05-A44","48hlow_105-5","Unknown",1,"Tcf7l2","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S05-A45","48hlow_105-5","Unknown",1,"B2M","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S05-A46","48hlow_105-5","Unknown",1,"MAP3K14","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S05-A47","48hlow_105-5","Unknown",1,"SLCO3A1","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S05-A48","48hlow_105-5","Unknown",1,"SP1","Test",16.4701404074471,1,"Pass",0.0222468576534276,75.7522353370787,999,1,"double","48h_low","Fail"
"S07-A01","48hlow_107-7","Unknown",1,"ACTB","Test",22.9054144273132,0.966814144491867,"Pass",0.0222468576534276,91.03092674405,999,1,"ok","48h_low","Pass"
"S07-A02","48hlow_107-7","Unknown",1,"SP3","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S07-A03","48hlow_107-7","Unknown",1,"SLCO2B1","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S07-A04","48hlow_107-7","Unknown",1,"RSU1","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S07-A05","48hlow_107-7","Unknown",1,"IL8","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S07-A06","48hlow_107-7","Unknown",1,"FZD7","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S07-A07","48hlow_107-7","Unknown",1,"ABCC4","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
"S07-A08","48hlow_107-7","Unknown",1,"YBX1","Test",15.8647366969854,1,"Pass",0.0222468576534276,82.22190986911,999,1,"ok","48h_low","Pass"
"S07-A09","48hlow_107-7","Unknown",1,"PRKCB","Test",26.0316388350699,0.547633778933041,"Fail",0.0222468576534276,69.8484447873823,999,1,"miss","48h_low","Fail"
"S07-A10","48hlow_107-7","Unknown",1,"DDIT4","Test",999,0,"Fail",0.0222468576534276,999,999,0,"no peak","48h_low","Fail"
